emoticon,convert_emoji,translate_emoji,cleaned,tokenize,normalization,stemmed,stopwords_stemmed,text_string_stemmed,label
@revi_r7 @RoystonRDrenthe Can beres PSBB na,Can beres PSBB na,Can beres PSBB na,can beres psbb na,"['can', 'beres', 'psbb', 'na']","['can', 'beres', 'psbb', 'na']","['can', 'beres', 'psbb', 'na']",['beres'],beres,netral
Pembatasan Sosial Berskala Besar (PSBB) Proporsional berlaku pada 11 sampai 25 Januari 2021.  @ridwankamil @jabarprovgoid @KemenkesRI @Kemendagri_RI   https://t.co/3gkbZ0SpLp,Pembatasan Sosial Berskala Besar (PSBB) Proporsional berlaku pada 11 sampai 25 Januari 2021. https //t.co/3gkbZ0SpLp,Pembatasan Sosial Berskala Besar (PSBB) Proporsional berlaku pada 11 sampai 25 Januari 2021. https //t.co/3gkbZ0SpLp,pembatasan sosial berskala besar psbb proporsional berlaku pada   sampai   januari     tco gkbz splp,"['pembatasan', 'sosial', 'berskala', 'besar', 'psbb', 'proporsional', 'berlaku', 'pada', 'sampai', 'januari', 'tco', 'gkbz', 'splp']","['pembatasan', 'sosial', 'berskala', 'besar', 'psbb', 'proporsional', 'berlaku', 'pada', 'sampai', 'januari', 'tco', 'gkbz', 'splp']","['batas', 'sosial', 'skala', 'besar', 'psbb', 'proporsional', 'laku', 'pada', 'sampai', 'januari', 'tco', 'gkbz', 'splp']","['batas', 'sosial', 'skala', 'proporsional', 'januari', 'gkbz', 'splp']",batas sosial skala proporsional januari gkbz splp,positif
"Hari ini Kabupaten Sukoharjo sudah mulai PSBB karena @sukoharjo_kab memilih memulai lebih awal dari jadwal, its okay","Hari ini Kabupaten Sukoharjo sudah mulai PSBB karena memilih memulai lebih awal dari jadwal, its okay","Hari ini Kabupaten Sukoharjo sudah mulai PSBB karena memilih memulai lebih awal dari jadwal, its okay",hari ini kabupaten sukoharjo sudah mulai psbb karena memilih memulai lebih awal dari jadwal its okay,"['hari', 'ini', 'kabupaten', 'sukoharjo', 'sudah', 'mulai', 'psbb', 'karena', 'memilih', 'memulai', 'lebih', 'awal', 'dari', 'jadwal', 'its', 'okay']","['hari', 'ini', 'kabupaten', 'sukoharjo', 'sudah', 'mulai', 'psbb', 'karena', 'memilih', 'memulai', 'lebih', 'awal', 'dari', 'jadwal', 'its', 'okay']","['hari', 'ini', 'kabupaten', 'sukoharjo', 'sudah', 'mulai', 'psbb', 'karena', 'pilih', 'mulai', 'lebih', 'awal', 'dari', 'jadwal', 'its', 'okay']","['kabupaten', 'sukoharjo', 'pilih', 'jadwal', 'its', 'okay']",kabupaten sukoharjo pilih jadwal its okay,positif
PSBB Jawa - Bali Pengurangan jam kerja  Noted : tidak berlaku untuk Indonesia Bagian PT ku 😴,PSBB Jawa - Bali Pengurangan jam kerja Noted tidak berlaku untuk Indonesia Bagian PT ku sleeping_face,PSBB Jawa - Bali Pengurangan jam kerja Noted tidak berlaku untuk Indonesia Bagian PT ku Tidur wajah,psbb jawa  bali pengurangan jam kerja noted tidak berlaku untuk indonesia bagian pt ku tidur wajah,"['psbb', 'jawa', 'bali', 'pengurangan', 'jam', 'kerja', 'noted', 'tidak', 'berlaku', 'untuk', 'indonesia', 'bagian', 'pt', 'ku', 'tidur', 'wajah']","['psbb', 'jawa', 'bali', 'pengurangan', 'jam', 'kerja', 'noted', 'tidak', 'berlaku', 'untuk', 'indonesia', 'bagian', 'pt', 'ku', 'tidur', 'wajah']","['psbb', 'jawa', 'bal', 'kurang', 'jam', 'kerja', 'noted', 'tidak', 'laku', 'untuk', 'indonesia', 'bagi', 'pt', 'ku', 'tidur', 'wajah']","['jawa', 'noted', 'indonesia', 'ku', 'tidur']",jawa noted indonesia ku tidur,netral
Liat orang foto prewed di studio tema nya pakai APD hazmat itu uda siap PSBB kali ya? Terharu,Liat orang foto prewed di studio tema nya pakai APD hazmat itu uda siap PSBB kali ya? Terharu,Liat orang foto prewed di studio tema nya pakai APD hazmat itu uda siap PSBB kali ya? Terharu,liat orang foto prewed di studio tema nya pakai apd hazmat itu uda siap psbb kali ya terharu,"['liat', 'orang', 'foto', 'prewed', 'di', 'studio', 'tema', 'nya', 'pakai', 'apd', 'hazmat', 'itu', 'uda', 'siap', 'psbb', 'kali', 'ya', 'terharu']","['liat', 'orang', 'foto', 'prewed', 'di', 'studio', 'tema', 'nya', 'pakai', 'apd', 'hazmat', 'itu', 'udah', 'siap', 'psbb', 'kali', 'ya', 'terharu']","['liat', 'orang', 'foto', 'prewed', 'di', 'studio', 'tema', 'nya', 'pakai', 'apd', 'hazmat', 'itu', 'udah', 'siap', 'psbb', 'kali', 'ya', 'haru']","['liat', 'foto', 'prewed', 'studio', 'tema', 'pakai', 'apd', 'hazmat', 'haru']",liat foto prewed studio tema pakai apd hazmat haru,netral
"Rek maringene kan onok PSBB Jawa-Bali, nah Pasuruan kenek PSBB pisan nggak?","Rek maringene kan onok PSBB Jawa-Bali, nah Pasuruan kenek PSBB pisan nggak?","Rek maringene kan onok PSBB Jawa-Bali, nah Pasuruan kenek PSBB pisan nggak?",rek maringene kan onok psbb jawabali nah pasuruan kenek psbb pisan nggak,"['rek', 'maringene', 'kan', 'onok', 'psbb', 'jawabali', 'nah', 'pasuruan', 'kenek', 'psbb', 'pisan', 'nggak']","['rek', 'maringene', 'kan', 'onok', 'psbb', 'jawabali', 'nah', 'pasuruan', 'kenek', 'psbb', 'pisan', 'nggak']","['rek', 'maringene', 'kan', 'onok', 'psbb', 'jawabali', 'nah', 'pasuruan', 'kenek', 'psbb', 'pis', 'nggak']","['rek', 'maringene', 'onok', 'jawabali', 'pasuruan', 'kenek', 'nggak']",rek maringene onok jawabali pasuruan kenek nggak,netral
"20 daerah di Jawa Barat akan melaksanakan PSBB Proporsional.. #StayTuned!  ~ #SenyumPagi ""Semangat Menyambut Pagi"" Jam 6-9 pagi w/ @diaryjeanmarlon!  (((ON AIR))) on 98,8 Raka FM Bandung  https://t.co/4UraAtT6D7","20 daerah di Jawa Barat akan melaksanakan PSBB Proporsional.. ~ ""Semangat Menyambut Pagi"" Jam 6-9 pagi w/ (((ON AIR))) on 98,8 Raka FM Bandung https //t.co/4UraAtT6D7","20 daerah di Jawa Barat akan melaksanakan PSBB Proporsional.. ~ ""Semangat Menyambut Pagi"" Jam 6-9 pagi w/ (((ON AIR))) on 98,8 Raka FM Bandung https //t.co/4UraAtT6D7",  daerah di jawa barat akan melaksanakan psbb proporsional  semangat menyambut pagi jam    pagi w on air on    raka fm bandung   tco uraatt d ,"['daerah', 'di', 'jawa', 'barat', 'akan', 'melaksanakan', 'psbb', 'proporsional', 'semangat', 'menyambut', 'pagi', 'jam', 'pagi', 'w', 'on', 'air', 'on', 'raka', 'fm', 'bandung', 'tco', 'uraatt', 'd']","['daerah', 'di', 'jawa', 'barat', 'akan', 'melaksanakan', 'psbb', 'proporsional', 'semangat', 'menyambut', 'pagi', 'jam', 'pagi', 'w', 'on', 'air', 'on', 'raka', 'fm', 'bandung', 'tco', 'uraatt', 'd']","['daerah', 'di', 'jawa', 'barat', 'akan', 'laksana', 'psbb', 'proporsional', 'semangat', 'sambut', 'pagi', 'jam', 'pagi', 'w', 'on', 'air', 'on', 'raka', 'fm', 'bandung', 'tco', 'uraatt', 'd']","['daerah', 'jawa', 'laksana', 'proporsional', 'semangat', 'sambut', 'air', 'raka', 'fm', 'bandung', 'uraatt']",daerah jawa laksana proporsional semangat sambut air raka fm bandung uraatt,positif
"Ohh pantesan disuruh balik ke Batam, Jawa sama Bali mau PSBB ya? Pantes abang pulang juga","Ohh pantesan disuruh balik ke Batam, Jawa sama Bali mau PSBB ya? Pantes abang pulang juga","Ohh pantesan disuruh balik ke Batam, Jawa sama Bali mau PSBB ya? Pantes abang pulang juga",ohh pantesan disuruh balik ke batam jawa sama bali mau psbb ya pantes abang pulang juga,"['ohh', 'pantesan', 'disuruh', 'balik', 'ke', 'batam', 'jawa', 'sama', 'bali', 'mau', 'psbb', 'ya', 'pantes', 'abang', 'pulang', 'juga']","['ohh', 'pantesan', 'disuruh', 'balik', 'ke', 'batam', 'jawa', 'sama', 'bali', 'mau', 'psbb', 'ya', 'pantes', 'abang', 'pulang', 'juga']","['ohh', 'pantesan', 'suruh', 'balik', 'ke', 'batam', 'jawa', 'sama', 'bal', 'mau', 'psbb', 'ya', 'pantes', 'abang', 'pulang', 'juga']","['ohh', 'pantesan', 'suruh', 'batam', 'jawa', 'pantes', 'abang', 'pulang']",ohh pantesan suruh batam jawa pantes abang pulang,positif
"Pada kebijakan PSBB, kepala daerah mengusulkan pembatasan aktivitas masyarakat kepada Menteri Kesehatan berdasarkan kriteria yang telah ditentukan. Sedangkan pada PPKM, pembatasan ditentukan oleh kepala daerah.  Tautan:  https://t.co/4ryhWNdsSh","Pada kebijakan PSBB, kepala daerah mengusulkan pembatasan aktivitas masyarakat kepada Menteri Kesehatan berdasarkan kriteria yang telah ditentukan. Sedangkan pada PPKM, pembatasan ditentukan oleh kepala daerah. Tautan https //t.co/4ryhWNdsSh","Pada kebijakan PSBB, kepala daerah mengusulkan pembatasan aktivitas masyarakat kepada Menteri Kesehatan berdasarkan kriteria yang telah ditentukan. Sedangkan pada PPKM, pembatasan ditentukan oleh kepala daerah. Tautan https //t.co/4ryhWNdsSh",pada kebijakan psbb kepala daerah mengusulkan pembatasan aktivitas masyarakat kepada menteri kesehatan berdasarkan kriteria yang telah ditentukan sedangkan pada ppkm pembatasan ditentukan oleh kepala daerah tautan   tco ryhwndssh,"['pada', 'kebijakan', 'psbb', 'kepala', 'daerah', 'mengusulkan', 'pembatasan', 'aktivitas', 'masyarakat', 'kepada', 'menteri', 'kesehatan', 'berdasarkan', 'kriteria', 'yang', 'telah', 'ditentukan', 'sedangkan', 'pada', 'ppkm', 'pembatasan', 'ditentukan', 'oleh', 'kepala', 'daerah', 'tautan', 'tco', 'ryhwndssh']","['pada', 'kebijakan', 'psbb', 'kepala', 'daerah', 'mengusulkan', 'pembatasan', 'aktivitas', 'masyarakat', 'kepada', 'menteri', 'kesehatan', 'berdasarkan', 'kriteria', 'yang', 'telah', 'ditentukan', 'sedangkan', 'pada', 'ppkm', 'pembatasan', 'ditentukan', 'oleh', 'kepala', 'daerah', 'tautan', 'tco', 'ryhwndssh']","['pada', 'bijak', 'psbb', 'kepala', 'daerah', 'usul', 'batas', 'aktivitas', 'masyarakat', 'kepada', 'menteri', 'sehat', 'dasar', 'kriteria', 'yang', 'telah', 'tentu', 'sedang', 'pada', 'ppkm', 'batas', 'tentu', 'oleh', 'kepala', 'daerah', 'taut', 'tco', 'ryhwndssh']","['bijak', 'kepala', 'daerah', 'usul', 'batas', 'aktivitas', 'masyarakat', 'menteri', 'sehat', 'dasar', 'kriteria', 'batas', 'kepala', 'daerah', 'taut', 'ryhwndssh']",bijak kepala daerah usul batas aktivitas masyarakat menteri sehat dasar kriteria batas kepala daerah taut ryhwndssh,positif
"Wisuda offline pun sudah di rancang, anak anak sudah membayar, tempat sudah kami sediakan, makanan sudah kami atur dengan test kesehatan yang juga sudah kami sediakan H-2 sebelum acara. Dan ternyata PSBB sejawa bali bahagia maka offline wisuda pun dipukul mundur. Tanggalnya.","Wisuda offline pun sudah di rancang, anak anak sudah membayar, tempat sudah kami sediakan, makanan sudah kami atur dengan test kesehatan yang juga sudah kami sediakan H-2 sebelum acara. Dan ternyata PSBB sejawa bali bahagia maka offline wisuda pun dipukul mundur. Tanggalnya.","Wisuda offline pun sudah di rancang, anak anak sudah membayar, tempat sudah kami sediakan, makanan sudah kami atur dengan test kesehatan yang juga sudah kami sediakan H-2 sebelum acara. Dan ternyata PSBB sejawa bali bahagia maka offline wisuda pun dipukul mundur. Tanggalnya.",wisuda offline pun sudah di rancang anak anak sudah membayar tempat sudah kami sediakan makanan sudah kami atur dengan test kesehatan yang juga sudah kami sediakan h  sebelum acara dan ternyata psbb sejawa bali bahagia maka offline wisuda pun dipukul mundur tanggalnya,"['wisuda', 'offline', 'pun', 'sudah', 'di', 'rancang', 'anak', 'anak', 'sudah', 'membayar', 'tempat', 'sudah', 'kami', 'sediakan', 'makanan', 'sudah', 'kami', 'atur', 'dengan', 'test', 'kesehatan', 'yang', 'juga', 'sudah', 'kami', 'sediakan', 'h', 'sebelum', 'acara', 'dan', 'ternyata', 'psbb', 'sejawa', 'bali', 'bahagia', 'maka', 'offline', 'wisuda', 'pun', 'dipukul', 'mundur', 'tanggalnya']","['wisuda', 'offline', 'pun', 'sudah', 'di', 'rancang', 'anak', 'anak', 'sudah', 'membayar', 'tempat', 'sudah', 'kami', 'sediakan', 'makanan', 'sudah', 'kami', 'atur', 'dengan', 'test', 'kesehatan', 'yang', 'juga', 'sudah', 'kami', 'sediakan', 'h', 'sebelum', 'acara', 'dan', 'ternyata', 'psbb', 'sejawa', 'bali', 'bahagia', 'maka', 'offline', 'wisuda', 'pun', 'dipukul', 'mundur', 'tanggalnya']","['wisuda', 'offline', 'pun', 'sudah', 'di', 'rancang', 'anak', 'anak', 'sudah', 'bayar', 'tempat', 'sudah', 'kami', 'sedia', 'makan', 'sudah', 'kami', 'atur', 'dengan', 'test', 'sehat', 'yang', 'juga', 'sudah', 'kami', 'sedia', 'h', 'belum', 'acara', 'dan', 'nyata', 'psbb', 'sejawa', 'bal', 'bahagia', 'maka', 'offline', 'wisuda', 'pun', 'pukul', 'mundur', 'tanggal']","['wisuda', 'offline', 'rancang', 'anak', 'anak', 'bayar', 'sedia', 'makan', 'atur', 'test', 'sehat', 'sedia', 'sejawa', 'bahagia', 'offline', 'wisuda', 'mundur']",wisuda offline rancang anak anak bayar sedia makan atur test sehat sedia sejawa bahagia offline wisuda mundur,netral
"psbb diperpanjang, gabisa keluar rumah, bokek, yg biasanya gapunya uang keluar cuman jalan ke taman sekarang SENGSARA DI RUMAHAJA 😘👎","psbb diperpanjang, gabisa keluar rumah, bokek, yg biasanya gapunya uang keluar cuman jalan ke taman sekarang SENGSARA DI RUMAHAJA face_blowing_a_kiss thumbs_down","psbb diperpanjang, gabisa keluar rumah, bokek, yg biasanya gapunya uang keluar cuman jalan ke taman sekarang SENGSARA DI RUMAHAJA Wajah meniup ciuman thumbs_down",psbb diperpanjang gabisa keluar rumah bokek yg biasanya gapunya uang keluar cuman jalan ke taman sekarang sengsara di rumahaja wajah meniup ciuman thumbsdown,"['psbb', 'diperpanjang', 'gabisa', 'keluar', 'rumah', 'bokek', 'yg', 'biasanya', 'gapunya', 'uang', 'keluar', 'cuman', 'jalan', 'ke', 'taman', 'sekarang', 'sengsara', 'di', 'rumahaja', 'wajah', 'meniup', 'ciuman', 'thumbsdown']","['psbb', 'diperpanjang', 'gabisa', 'keluar', 'rumah', 'bokek', 'yg', 'biasanya', 'gapunya', 'uang', 'keluar', 'cuman', 'jalan', 'ke', 'taman', 'sekarang', 'sengsara', 'di', 'rumahaja', 'wajah', 'meniup', 'ciuman', 'thumbsdown']","['psbb', 'panjang', 'gabisa', 'keluar', 'rumah', 'bokek', 'yg', 'biasa', 'gapunya', 'uang', 'keluar', 'cuman', 'jalan', 'ke', 'taman', 'sekarang', 'sengsara', 'di', 'rumahaja', 'wajah', 'tiup', 'cium', 'thumbsdown']","['gabisa', 'rumah', 'bokek', 'gapunya', 'uang', 'cuman', 'taman', 'sengsara', 'rumahaja', 'tiup', 'cium', 'thumbsdown']",gabisa rumah bokek gapunya uang cuman taman sengsara rumahaja tiup cium thumbsdown,negatif
@monstaaw Bukannya belasan lg psbb?? Harus dong 👉👈,Bukannya belasan lg psbb?? Harus dong backhand_index_pointing_right backhand_index_pointing_left,Bukannya belasan lg psbb?? Harus dong backhand_index_pointing_right backhand_index_pointing_left,bukannya belasan lg psbb harus dong backhandindexpointingright backhandindexpointingleft,"['bukannya', 'belasan', 'lg', 'psbb', 'harus', 'dong', 'backhandindexpointingright', 'backhandindexpointingleft']","['bukannya', 'belasan', 'lg', 'psbb', 'harus', 'dong', 'backhandindexpointingright', 'backhandindexpointingleft']","['bukan', 'bas', 'lg', 'psbb', 'harus', 'dong', 'backhandindexpointingright', 'backhandindexpointingleft']","['backhandindexpointingright', 'backhandindexpointingleft']",backhandindexpointingright backhandindexpointingleft,netral
Belum jadi liburan udh PSBB lagi aja,Belum jadi liburan udh PSBB lagi aja,Belum jadi liburan udh PSBB lagi aja,belum jadi liburan udh psbb lagi aja,"['belum', 'jadi', 'liburan', 'udh', 'psbb', 'lagi', 'aja']","['belum', 'jadi', 'liburan', 'udah', 'psbb', 'lagi', 'aja']","['belum', 'jadi', 'libur', 'udah', 'psbb', 'lagi', 'aja']",['libur'],libur,negatif
Inilah 20 Daerah di Jabar yang Terapkan PSBB Pada 11-25 Januari  https://t.co/sf6RGHLxX5,Inilah 20 Daerah di Jabar yang Terapkan PSBB Pada 11-25 Januari https //t.co/sf6RGHLxX5,Inilah 20 Daerah di Jabar yang Terapkan PSBB Pada 11-25 Januari https //t.co/sf6RGHLxX5,inilah   daerah di jabar yang terapkan psbb pada    januari   tcosf rghlxx ,"['inilah', 'daerah', 'di', 'jabar', 'yang', 'terapkan', 'psbb', 'pada', 'januari', 'tcosf', 'rghlxx']","['inilah', 'daerah', 'di', 'jabar', 'yang', 'terapkan', 'psbb', 'pada', 'januari', 'tcosf', 'rghlxx']","['ini', 'daerah', 'di', 'jabar', 'yang', 'terap', 'psbb', 'pada', 'januari', 'tcosf', 'rghlxx']","['daerah', 'jabar', 'terap', 'januari', 'tcosf', 'rghlxx']",daerah jabar terap januari tcosf rghlxx,positif
Mari kita lihat psbb besok senin....,Mari kita lihat psbb besok senin....,Mari kita lihat psbb besok senin....,mari kita lihat psbb besok senin,"['mari', 'kita', 'lihat', 'psbb', 'besok', 'senin']","['mari', 'kita', 'lihat', 'psbb', 'besok', 'senin']","['mari', 'kita', 'lihat', 'psbb', 'besok', 'senin']","['mari', 'besok']",mari besok,netral
@JatimFess lek saiki mlaku kn durung psbb psbb tgl 11,lek saiki mlaku kn durung psbb psbb tgl 11,lek saiki mlaku kn durung psbb psbb tgl 11,lek saiki mlaku kn durung psbb psbb tgl  ,"['lek', 'saiki', 'mlaku', 'kn', 'durung', 'psbb', 'psbb', 'tgl']","['lek', 'saiki', 'mlaku', 'kn', 'durung', 'psbb', 'psbb', 'tanggal']","['lek', 'saiki', 'mlaku', 'kn', 'durung', 'psbb', 'psbb', 'tanggal']","['lek', 'saiki', 'mlaku', 'durung']",lek saiki mlaku durung,netral
PSBB 11-25 Januari Penindakan di Kota Bandung Bakal Lebih Tegas  https://t.co/yR8yrqgKrO,PSBB 11-25 Januari Penindakan di Kota Bandung Bakal Lebih Tegas https //t.co/yR8yrqgKrO,PSBB 11-25 Januari Penindakan di Kota Bandung Bakal Lebih Tegas https //t.co/yR8yrqgKrO,psbb    januari penindakan di kota bandung bakal lebih tegas   tcoyr yrqgkro,"['psbb', 'januari', 'penindakan', 'di', 'kota', 'bandung', 'bakal', 'lebih', 'tegas', 'tcoyr', 'yrqgkro']","['psbb', 'januari', 'penindakan', 'di', 'kota', 'bandung', 'bakal', 'lebih', 'tegas', 'tcoyr', 'yrqgkro']","['psbb', 'januari', 'tindak', 'di', 'kota', 'bandung', 'bakal', 'lebih', 'tegas', 'tcoyr', 'yrqgkro']","['januari', 'tindak', 'kota', 'bandung', 'tcoyr', 'yrqgkro']",januari tindak kota bandung tcoyr yrqgkro,positif
@FWBESS Lagi psbb ngabbb,Lagi psbb ngabbb,Lagi psbb ngabbb,lagi psbb ngabbb,"['lagi', 'psbb', 'ngabbb']","['lagi', 'psbb', 'ngabbb']","['lagi', 'psbb', 'ngabbb']",['ngabbb'],ngabbb,netral
@R_JPN_IDN あら、てっきり東京に負けたと思ってましたが、さすがジャカルタ…って、こちらもPSBB強化で流れは一緒だなあ,あら、てっきり東京に負けたと思ってましたが、さすがジャカルタ…って、こちらもPSBB強化で流れは一緒だなあ,あら、てっきり東京に負けたと思ってましたが、さすがジャカルタ…って、こちらもPSBB強化で流れは一緒だなあ,psbb,['psbb'],['psbb'],['psbb'],[],,netral
"Udah ada informasi terkait psbb lagi dari 11-25 jan ini. Tapi kantorku kok adem ayem gak ada aksi apa-apa yah.  Ya bukannya mau males-males dirumah, namanya org was was kan piye.","Udah ada informasi terkait psbb lagi dari 11-25 jan ini. Tapi kantorku kok adem ayem gak ada aksi apa-apa yah. Ya bukannya mau males-males dirumah, namanya org was was kan piye.","Udah ada informasi terkait psbb lagi dari 11-25 jan ini. Tapi kantorku kok adem ayem gak ada aksi apa-apa yah. Ya bukannya mau males-males dirumah, namanya org was was kan piye.",udah ada informasi terkait psbb lagi dari    jan ini tapi kantorku kok adem ayem gak ada aksi apaapa yah ya bukannya mau malesmales dirumah namanya org was was kan piye,"['udah', 'ada', 'informasi', 'terkait', 'psbb', 'lagi', 'dari', 'jan', 'ini', 'tapi', 'kantorku', 'kok', 'adem', 'ayem', 'gak', 'ada', 'aksi', 'apaapa', 'yah', 'ya', 'bukannya', 'mau', 'malesmales', 'dirumah', 'namanya', 'org', 'was', 'was', 'kan', 'piye']","['udah', 'ada', 'informasi', 'terkait', 'psbb', 'lagi', 'dari', 'jan', 'ini', 'tapi', 'kantorku', 'kok', 'adem', 'ayem', 'gak', 'ada', 'aksi', 'apaapa', 'yah', 'ya', 'bukannya', 'mau', 'malesmales', 'dirumah', 'namanya', 'org', 'was', 'was', 'kan', 'piye']","['udah', 'ada', 'informasi', 'kait', 'psbb', 'lagi', 'dari', 'jan', 'ini', 'tapi', 'kantor', 'kok', 'adem', 'ayem', 'gak', 'ada', 'aksi', 'apaapa', 'yah', 'ya', 'bukan', 'mau', 'malesmales', 'rumah', 'nama', 'org', 'was', 'was', 'kan', 'piye']","['informasi', 'kait', 'kantor', 'adem', 'ayem', 'aksi', 'malesmales', 'rumah', 'was', 'was']",informasi kait kantor adem ayem aksi malesmales rumah was was,netral
Yo merapi Yo covid 19 Yo PSBB Yo ra duwe duwit Yo merindukanmu barang (Pokok e komplit),Yo merapi Yo covid 19 Yo PSBB Yo ra duwe duwit Yo merindukanmu barang (Pokok e komplit),Yo merapi Yo covid 19 Yo PSBB Yo ra duwe duwit Yo merindukanmu barang (Pokok e komplit),yo merapi yo covid   yo psbb yo ra duwe duwit yo merindukanmu barang pokok e komplit,"['yo', 'merapi', 'yo', 'covid', 'yo', 'psbb', 'yo', 'ra', 'duwe', 'duwit', 'yo', 'merindukanmu', 'barang', 'pokok', 'e', 'komplit']","['yo', 'merapi', 'yo', 'covid', 'yo', 'psbb', 'yo', 'ra', 'duwe', 'duwit', 'yo', 'merindukanmu', 'barang', 'pokok', 'e', 'komplit']","['yo', 'rapi', 'yo', 'covid', 'yo', 'psbb', 'yo', 'ra', 'duwe', 'duwit', 'yo', 'rindu', 'barang', 'pokok', 'e', 'komplit']","['rapi', 'covid', 'duwe', 'duwit', 'rindu', 'pokok', 'komplit']",rapi covid duwe duwit rindu pokok komplit,netral
Ternyata Kebijakan PSBB Serentak Jawa-Bali ala Pemerintah Pusat Datang dari Usulan Anies Baswedan    https://t.co/hE2fv8rrMw,Ternyata Kebijakan PSBB Serentak Jawa-Bali ala Pemerintah Pusat Datang dari Usulan Anies Baswedan https //t.co/hE2fv8rrMw,Ternyata Kebijakan PSBB Serentak Jawa-Bali ala Pemerintah Pusat Datang dari Usulan Anies Baswedan https //t.co/hE2fv8rrMw,ternyata kebijakan psbb serentak jawabali ala pemerintah pusat datang dari usulan anies baswedan   tcohe fv rrmw,"['ternyata', 'kebijakan', 'psbb', 'serentak', 'jawabali', 'ala', 'pemerintah', 'pusat', 'datang', 'dari', 'usulan', 'anies', 'baswedan', 'tcohe', 'fv', 'rrmw']","['ternyata', 'kebijakan', 'psbb', 'serentak', 'jawabali', 'ala', 'pemerintah', 'pusat', 'datang', 'dari', 'usulan', 'anies', 'baswedan', 'tcohe', 'fv', 'rrmw']","['nyata', 'bijak', 'psbb', 'serentak', 'jawabali', 'ala', 'perintah', 'pusat', 'datang', 'dari', 'usul', 'anies', 'baswedan', 'tcohe', 'fv', 'rrmw']","['bijak', 'serentak', 'jawabali', 'ala', 'perintah', 'pusat', 'usul', 'anies', 'baswedan', 'tcohe', 'fv', 'rrmw']",bijak serentak jawabali ala perintah pusat usul anies baswedan tcohe fv rrmw,positif
"Boleh bertanya &amp; silahkan koment ya.  Apa betul data penderita covid akurat sekali? Apa tidak ada data mark up? Yg sakit lain trus pukul rata menjadi covid krn gejala sama? Krn semua butuh makan &amp; kerja, kalau dibatasi dgn alasan psbb/ppkm krn data pasien covid yg salah! Gimana?","Boleh bertanya &amp; silahkan koment ya. Apa betul data penderita covid akurat sekali? Apa tidak ada data mark up? Yg sakit lain trus pukul rata menjadi covid krn gejala sama? Krn semua butuh makan &amp; kerja, kalau dibatasi dgn alasan psbb/ppkm krn data pasien covid yg salah! Gimana?","Boleh bertanya &amp; silahkan koment ya. Apa betul data penderita covid akurat sekali? Apa tidak ada data mark up? Yg sakit lain trus pukul rata menjadi covid krn gejala sama? Krn semua butuh makan &amp; kerja, kalau dibatasi dgn alasan psbb/ppkm krn data pasien covid yg salah! Gimana?",boleh bertanya amp silahkan koment ya apa betul data penderita covid akurat sekali apa tidak ada data mark up yg sakit lain trus pukul rata menjadi covid krn gejala sama krn semua butuh makan amp kerja kalau dibatasi dgn alasan psbbppkm krn data pasien covid yg salah gimana,"['boleh', 'bertanya', 'amp', 'silahkan', 'koment', 'ya', 'apa', 'betul', 'data', 'penderita', 'covid', 'akurat', 'sekali', 'apa', 'tidak', 'ada', 'data', 'mark', 'up', 'yg', 'sakit', 'lain', 'trus', 'pukul', 'rata', 'menjadi', 'covid', 'krn', 'gejala', 'sama', 'krn', 'semua', 'butuh', 'makan', 'amp', 'kerja', 'kalau', 'dibatasi', 'dgn', 'alasan', 'psbbppkm', 'krn', 'data', 'pasien', 'covid', 'yg', 'salah', 'gimana']","['boleh', 'bertanya', 'amp', 'silahkan', 'koment', 'ya', 'apa', 'betul', 'data', 'penderita', 'covid', 'akurat', 'sekali', 'apa', 'tidak', 'ada', 'data', 'mark', 'up', 'yg', 'sakit', 'lain', 'trus', 'pukul', 'rata', 'menjadi', 'covid', 'karena', 'gejala', 'sama', 'karena', 'semua', 'butuh', 'makan', 'amp', 'kerja', 'kalau', 'dibatasi', 'dgn', 'alasan', 'psbbppkm', 'karena', 'data', 'pasien', 'covid', 'yg', 'salah', 'gimana']","['boleh', 'tanya', 'amp', 'silah', 'koment', 'ya', 'apa', 'betul', 'data', 'derita', 'covid', 'akurat', 'sekali', 'apa', 'tidak', 'ada', 'data', 'mark', 'up', 'yg', 'sakit', 'lain', 'trus', 'pukul', 'rata', 'jadi', 'covid', 'karena', 'gejala', 'sama', 'karena', 'semua', 'butuh', 'makan', 'amp', 'kerja', 'kalau', 'batas', 'dgn', 'alas', 'psbbppkm', 'karena', 'data', 'pasien', 'covid', 'yg', 'salah', 'gimana']","['silah', 'koment', 'data', 'derita', 'covid', 'akurat', 'data', 'mark', 'up', 'sakit', 'covid', 'gejala', 'butuh', 'makan', 'batas', 'alas', 'psbbppkm', 'data', 'pasien', 'covid']",silah koment data derita covid akurat data mark up sakit covid gejala butuh makan batas alas psbbppkm data pasien covid,netral
